station_id,location,visits,charge_time,queue_time,num_chargers,charger_speeds
1,0.0,0,0.0,0.0,6,"[150, 150, 250, 72, 72, 250, 250, 150]"
2,6.0,0,0.0,0.0,2,"[150, 150, 72, 250]"
3,11.0,0,0.0,0.0,10,"[150, 150, 250, 150, 72, 250, 72, 72, 250, 150, 150, 72]"
4,17.0,0,0.0,0.0,6,"[72, 150, 250, 150, 72, 250, 150, 150]"
5,22.0,0,0.0,0.0,6,"[150, 150, 250, 72, 150, 150, 72, 150]"
6,28.0,0,0.0,0.0,6,"[150, 250, 250, 250, 150, 250, 150, 250]"
7,34.0,0,0.0,0.0,4,"[72, 250, 150, 250, 50, 250]"
8,39.0,0,0.0,0.0,8,"[150, 250, 72, 150, 250, 150, 250, 250, 250, 150]"
9,45.0,0,0.0,0.0,8,"[72, 150, 50, 150, 72, 150, 72, 72, 150, 150]"
10,50.0,0,0.0,0.0,8,"[150, 150, 150, 72, 250, 50, 150, 150, 250, 150]"
11,56.0,0,0.0,0.0,6,"[250, 150, 150, 72, 72, 250, 150, 150]"
12,62.0,0,0.0,0.0,10,"[250, 150, 72, 50, 150, 72, 72, 150, 72, 150, 250, 150]"
13,67.0,0,0.0,0.0,10,"[72, 250, 250, 150, 150, 150, 150, 150, 250, 150, 250, 250]"
14,73.0,0,0.0,0.0,8,"[72, 72, 250, 150, 250, 250, 150, 72, 150, 150]"
15,78.0,0,0.0,0.0,8,"[150, 50, 72, 72, 150, 150, 72, 150, 72, 250]"
16,84.0,0,0.0,0.0,10,"[250, 150, 150, 150, 150, 150, 150, 72, 150, 72, 250, 250]"
17,90.0,0,0.0,0.0,6,"[250, 150, 150, 72, 150, 250, 50, 150]"
18,95.0,0,0.0,0.0,2,"[50, 250, 250, 250]"
19,101.0,0,0.0,0.0,8,"[150, 150, 72, 250, 150, 150, 72, 250, 50, 150]"
20,106.0,0,0.0,0.0,6,"[150, 72, 250, 150, 50, 250, 250, 150]"
21,112.0,0,0.0,0.0,6,"[250, 72, 72, 250, 250, 150, 250, 250]"
22,118.0,0,0.0,0.0,8,"[250, 150, 72, 150, 72, 150, 250, 250, 250, 72]"
23,123.0,0,0.0,0.0,14,"[250, 72, 150, 150, 72, 72, 150, 150, 150, 150, 50, 150, 72, 72, 150, 250]"
24,129.0,0,0.0,0.0,10,"[72, 150, 150, 150, 250, 150, 250, 250, 150, 250, 250, 50]"
25,134.0,0,0.0,0.0,4,"[250, 72, 250, 250, 250, 72]"
26,140.0,0,0.0,0.0,8,"[150, 150, 150, 150, 50, 250, 150, 250, 150, 150]"
27,146.0,0,0.0,0.0,6,"[150, 150, 150, 150, 150, 72, 250, 150]"
28,151.0,0,0.0,0.0,4,"[72, 250, 72, 250, 250, 150]"
29,157.0,0,0.0,0.0,10,"[72, 150, 150, 250, 250, 150, 250, 72, 72, 150, 72, 150]"
30,162.0,0,0.0,0.0,4,"[72, 72, 150, 150, 250, 150]"
31,168.0,0,0.0,0.0,2,"[150, 72, 150, 250]"
32,174.0,0,0.0,0.0,10,"[72, 250, 72, 72, 150, 250, 250, 50, 150, 72, 150, 72]"
33,179.0,0,0.0,0.0,10,"[150, 150, 150, 72, 150, 150, 72, 150, 150, 250, 250, 250]"
34,185.0,0,0.0,0.0,8,"[150, 72, 150, 250, 150, 72, 150, 250, 250, 50]"
35,190.0,1,13.008000000000001,0.0,6,"[150, 250, 250, 150, 250, 150, 50, 150]"
36,196.0,12,156.9696,0.0,10,"[150, 250, 150, 150, 150, 72, 250, 72, 72, 150, 72, 150]"
37,202.0,10,131.04000000000002,0.0,6,"[250, 250, 250, 250, 50, 250, 72, 50]"
38,207.0,14,183.1104,0.0,8,"[250, 250, 150, 150, 150, 72, 150, 72, 150, 250]"
39,213.0,6,78.59039999999999,0.0,2,"[72, 150, 250, 72]"
40,218.0,10,130.75199999999998,0.0,6,"[150, 150, 250, 250, 72, 250, 250, 150]"
41,224.0,9,196.32800000000003,0.0,6,"[150, 150, 150, 72, 50, 72, 150, 150]"
42,230.0,8,104.78399999999999,0.0,10,"[72, 250, 250, 150, 150, 150, 150, 250, 150, 150, 150, 72]"
43,235.0,15,195.73200000000003,0.0,4,"[250, 150, 72, 50, 72, 50]"
44,241.0,13,170.11440000000002,0.0,8,"[150, 150, 150, 250, 150, 72, 150, 150, 72, 150]"
45,246.0,25,383.3088,0.0,8,"[72, 72, 250, 250, 72, 50, 150, 150, 50, 150]"
46,252.0,51,829.2048000000005,0.0,4,"[250, 150, 250, 250, 150, 72]"
47,258.0,41,690.2207999999996,227.0658394047914,4,"[150, 250, 150, 150, 150, 150]"
48,263.0,45,737.3471999999995,0.0,10,"[150, 250, 150, 250, 150, 250, 250, 250, 72, 250, 150, 72]"
49,269.0,38,627.1608000000001,0.0,6,"[150, 250, 150, 150, 150, 250, 72, 150]"
50,274.0,38,625.7328000000001,0.0,10,"[250, 250, 150, 250, 250, 72, 72, 150, 250, 250, 250, 150]"
51,280.0,43,734.6159999999998,0.0,8,"[150, 250, 72, 150, 150, 72, 250, 150, 72, 150]"
52,286.0,41,690.5375999999999,0.0,10,"[250, 250, 150, 72, 250, 250, 150, 250, 250, 72, 150, 150]"
53,291.0,30,483.4056,0.0,6,"[150, 250, 72, 150, 150, 150, 150, 250]"
54,297.0,40,710.8632000000002,0.0,14,"[72, 72, 50, 150, 250, 150, 150, 72, 150, 72, 150, 250, 150, 72, 250, 150]"
55,302.0,67,1230.6624000000004,4831.357812662611,8,"[150, 150, 72, 150, 150, 250, 150, 150, 150, 72]"
56,308.0,70,1279.9871999999998,9533.153968428078,6,"[150, 150, 72, 250, 72, 72, 72, 150]"
57,314.0,55,1017.2592000000003,0.0,8,"[150, 72, 250, 250, 250, 150, 250, 150, 150, 250]"
58,319.0,70,1332.5352000000005,575.504673258785,10,"[72, 150, 150, 150, 250, 250, 150, 150, 72, 50, 150, 72]"
59,325.0,61,1202.1240000000003,1898.1268378808472,8,"[250, 72, 72, 72, 150, 150, 72, 250, 72, 72]"
60,330.0,57,1167.2879999999998,0.0,10,"[50, 150, 250, 72, 250, 250, 150, 72, 250, 72, 250, 150]"
61,336.0,56,1105.5599999999995,0.0,8,"[72, 72, 150, 250, 72, 250, 250, 150, 72, 72]"
62,342.0,55,1093.8624000000004,0.0,6,"[250, 250, 150, 250, 150, 72, 72, 250]"
63,347.0,69,2255.5560000000005,0.0,6,"[150, 50, 150, 72, 150, 50, 72, 150]"
64,353.0,41,838.9920000000001,23.52021203909578,6,"[150, 250, 250, 72, 150, 72, 150, 72]"
