station_id,location,charges,charge_time,queue_time,epoch
1,0.0,0,0.0,0.0,1
2,68.0,0,0.0,0.0,1
3,137.0,1,54.227999999999994,0.0,1
4,205.0,13,259.42,386.62000000000006,1
5,274.0,12,286.36000000000007,1562.6320000000003,1
6,342.0,11,435.4240000000001,276.408,1
7,411.0,5,177.86,363.1919999999999,1
8,479.0,20,1692.7679999999996,5142.628,1
9,548.0,10,243.45600000000005,25.208000000000027,1
10,616.0,0,0.0,0.0,1
1,0.0,0,0.0,0.0,2
2,68.0,0,0.0,0.0,2
3,137.0,2,107.01600000000002,54.34800000000003,2
4,205.0,11,219.04000000000002,458.40000000000003,2
5,274.0,10,231.264,249.03999999999996,2
6,342.0,12,444.8,362.688,2
7,411.0,7,242.57600000000002,157.92799999999988,2
8,479.0,16,455.9200000000001,1275.6600000000003,2
9,548.0,10,296.552,483.00000000000006,2
10,616.0,0,0.0,0.0,2
1,0.0,0,0.0,0.0,3
2,68.0,0,0.0,0.0,3
3,137.0,1,18.075999999999997,0.0,3
4,205.0,9,170.38,284.85999999999996,3
5,274.0,13,353.24800000000005,994.1520000000002,3
6,342.0,8,285.25600000000003,1008.5840000000001,3
7,411.0,12,488.656,616.4200000000001,3
8,479.0,11,257.12800000000004,227.01200000000023,3
9,548.0,11,368.44000000000005,417.57599999999996,3
10,616.0,0,0.0,0.0,3
1,0.0,0,0.0,0.0,4
2,68.0,0,0.0,0.0,4
3,137.0,3,53.068,0.0,4
4,205.0,13,259.24,713.68,4
5,274.0,16,391.05600000000004,3087.8160000000003,4
6,342.0,7,748.7520000000001,899.0160000000001,4
7,411.0,9,312.848,556.8199999999999,4
8,479.0,15,1082.8319999999997,8024.675999999998,4
9,548.0,11,260.968,0.0,4
10,616.0,0,0.0,0.0,4
1,0.0,0,0.0,0.0,5
2,68.0,0,0.0,0.0,5
3,137.0,2,35.11200000000001,0.0,5
4,205.0,19,380.96,1595.74,5
5,274.0,13,297.17600000000004,1818.1200000000001,5
6,342.0,5,173.72000000000003,359.4480000000001,5
7,411.0,5,176.30400000000003,28.084000000000003,5
8,479.0,23,553.5799999999999,315.54000000000036,5
9,548.0,11,286.25600000000003,27.208000000000027,5
10,616.0,0,0.0,0.0,5
1,0.0,0,0.0,0.0,6
2,68.0,0,0.0,0.0,6
3,137.0,3,52.90800000000001,0.0,6
4,205.0,8,154.68,60.42,6
5,274.0,19,431.544,1182.7039999999997,6
6,342.0,5,535.344,177.168,6
7,411.0,10,1030.812,5296.872,6
8,479.0,14,414.9000000000001,1284.3600000000001,6
9,548.0,16,353.8880000000001,1753.9119999999994,6
10,616.0,0,0.0,0.0,6
1,0.0,0,0.0,0.0,7
2,68.0,0,0.0,0.0,7
3,137.0,2,106.53600000000003,0.0,7
4,205.0,11,222.48,1091.9400000000003,7
5,274.0,10,228.74400000000003,1085.504,7
6,342.0,11,457.248,2275.3360000000007,7
7,411.0,7,265.784,0.0,7
8,479.0,16,451.5240000000001,757.7440000000001,7
9,548.0,12,364.14400000000006,1497.0479999999989,7
10,616.0,0,0.0,0.0,7
1,0.0,0,0.0,0.0,8
2,68.0,0,0.0,0.0,8
3,137.0,3,158.604,0.0,8
4,205.0,12,242.17999999999998,296.48,8
